Zip Code;Latitude;Longitude;Area;Basic debt DOY. Control Centers;Basic Customs debt;State revenues;Total State;Basic debt e-EFKA;Collected e-EFKA;Total e-EFKA
10563;37.9844383;23.7281172;ATHINA ;3514899.61;13499.84;10102984.91;13631384.36;0;0;0
10563;37.9844383;23.7281172;ATHINA ;4914201.44;0;7222547.19;12136748.63;0;0;0
42100;39.5557317;21.7678951;TRIKALA ;95878399.72;0;189117383.64;284995783.36;0;0;0
42100;39.5557317;21.7678951;TRIKALA ;86460427.39;0;67990613.06;154451040.45;0;0;0
42100;39.5557317;21.7678951;TRIKALA ;50999405.19;0;51642255.05;102641660.24;0;0;0
42100;39.5557317;21.7678951;TRIKALA ;27448974.53;0;33843241.02;61292215.55;176031.09;228503.03;404534.12
42100;39.5557317;21.7678951;TRIKALA ;15538565.12;0;25890418.20;41428983.32;0;0;0
42100;39.5557317;21.7678951;TRIKALA ;5444924.03;0;10886120.74;16331044.77;0;0;0
42100;39.5557317;21.7678951;TRIKALA ;5094154.35;0;8592717.05;13686871.40;307374.23;576175.98;883550.21
10564;37.974511;23.7330711;ATHINA ;28527888.23;0;57739098.40;86266986.63;0;0;0
10564;37.974511;23.7330711;ATHINA ;14260576.07;0;28557907.16;42818483.23;0;0;0
10564;37.974511;23.7330711;ATHINA ;4642214.93;0;6462083.31;11104298.24;0;0;0
10564;37.974511;23.7330711;ATHINA ;4434731.17;22562.17;6504622.18;10961915.52;0;0;0
20200;38.0126545;22.750170999999998;KIATO ;138981798.31;0;116687689.07;255669487.38;0;0;0
10671;37.9755042;23.73267610000001;ATHINA ;36457715.05;0;67187989.01;103645704.06;3290238.80;6042806.65;9333045.45
10671;37.9755042;23.73267610000001;ATHINA ;25459514.71;0;50836820.12;76296334.83;0;0;0
10671;37.9755042;23.73267610000001;ATHINA ;22657951.37;33570.17;51647073.25;74338594.79;0;0;0
10671;37.9755042;23.73267610000001;ATHINA ;14224484.22;426592.47;29897725.05;44548801.74;0;0;0
10671;37.9755042;23.73267610000001;ATHINA ;5831772.42;0;6048687.41;11880459.83;0;0;0
15125;38.0453;23.8203025;MAROUSI ;161255865.21;0;43507621.94;204763487.15;34366955.66;9729820.98;44096776.64
15125;38.0453;23.8203025;MAROUSI ;59870292.20;0;119740976.04;179611268.24;0;0;0
15125;38.0453;23.8203025;MAROUSI ;28049616.34;0;56101964.24;84151580.58;0;0;0
15125;38.0453;23.8203025;MAROUSI ;37045033.90;0;16218473.13;53263507.03;0;0;0
15125;38.0453;23.8203025;MAROUSI ;31567830.96;0;18277425.26;49845256.22;0;0;0
15125;38.0453;23.8203025;MAROUSI ;25386108.16;0;15214604.89;40600713.05;3442981.43;3388465.23;6831446.66
15125;38.0453;23.8203025;MAROUSI ;9474190.69;0;7861370.69;17335561.38;6715914.72;6425128.36;13141043.08
15125;38.0453;23.8203025;MAROUSI ;1391230.06;0;1474168.16;2865398.22;9577455.21;9293887.31;18871342.52
15125;38.0453;23.8203025;MAROUSI ;12356707.68;0;6949941.41;19306649.09;0;0;0
15125;38.0453;23.8203025;MAROUSI ;6839776.96;0;10853379.18;17693156.14;0;0;0
15125;38.0453;23.8203025;MAROUSI ;3699590.11;0;1951240.97;5650831.08;7180633.24;4219744.25;11400377.49
15125;38.0453;23.8203025;MAROUSI ;5596038.18;0;11285887.87;16881926.05;0;0;0
15125;38.0453;23.8203025;MAROUSI ;4232058.37;0;8530556.26;12762614.63;0;0;0
15125;38.0453;23.8203025;MAROUSI ;9052963.53;0;1778507.37;10831470.90;1215585.46;712552.41;1928137.87
15125;38.0453;23.8203025;MAROUSI ;6374041.69;0;3308293.33;9682335.02;2029541.93;900933.54;2930475.47
10672;37.9755042;23.73267610000001;ATHINA ;26508651.45;0;22546803.40;49055454.85;0;0;0
10672;37.9755042;23.73267610000001;ATHINA ;5824422.77;0;2540274.65;8364697.42;6237740.87;5118706.61;11356447.48
19300;38.0609063;23.5910603;ASPROPYRGOS ;145000257.52;300.00;94063860.16;239064417.68;1337528.76;1420563.59;2758092.35
19300;38.0609063;23.5910603;ASPROPYRGOS ;3340324.51;108024961.90;64196088.55;175561374.96;0;0;0
19300;38.0609063;23.5910603;ASPROPYRGOS ;57229202.54;0;99963270.61;157192473.15;0;0;0
19300;38.0609063;23.5910603;ASPROPYRGOS ;20700926.00;0;41403408.69;62104334.69;0;0;0
19300;38.0609063;23.5910603;ASPROPYRGOS ;22074957.96;0;17477274.67;39552232.63;167818.81;177058.81;344877.62
19300;38.0609063;23.5910603;ASPROPYRGOS ;16728747.99;0;16752427.55;33481175.54;0;0;0
19300;38.0609063;23.5910603;ASPROPYRGOS ;10268413.29;0;19171317.29;29439730.58;472979.67;863679.01;1336658.68
19300;38.0609063;23.5910603;ASPROPYRGOS ;11427412.89;0;13396371.51;24823784.40;3039948.71;2701943.05;5741891.76
19300;38.0609063;23.5910603;ASPROPYRGOS ;21895640.67;0;6187926.51;28083567.18;0;0;0
